video_ID,video_block,position,cross_ID,female_line,first_male,second_male,donor_males,cross_type,treatment,died,M_display,M_wingflaps,M_tapping,M_licking,cop_attempts,cop_success,latency,duration,time_spent_courting,courtship_effort,courtship_over_time
40,9,C1,134,B4_California,mel_GFP,A7_Taiwan,yak_S09_L38,CT,treatment,N,5,29,19,9,13,N,NA,NA,120,75,0.625
41,10,A2,145,A5_Greece,mel_GFP,B7_Malaysia,B7_Malaysia,GM,control,N,14,54,47,20,10,N,NA,NA,120,145,1.208333333
42,10,A1,146,B4_California,mel_GFP,B7_Malaysia,yak_S09_L38,CM,treatment,N,1,19,17,4,4,N,NA,NA,120,45,0.375
43,10,B2,147,A5_Greece,mel_GFP,B7_Malaysia,yak_S09_L38,GM,treatment,N,3,22,16,8,11,N,NA,NA,120,60,0.5
44,10,B1,148,A7_Taiwan,mel_GFP,A5_Greece,yak_S09_L38,TG,treatment,N,3,28,16,4,4,N,NA,NA,120,55,0.458333333
45,10,C2,149,B4_California,mel_GFP,A5_Greece,yak_S09_L38,CG,treatment,N,6,12,7,3,4,N,NA,NA,120,32,0.266666667
46,10,C1,150,B4_California,mel_GFP,B7_Malaysia,yak_S09_L38,CM,treatment,N,3,8,7,1,0,N,NA,NA,120,19,0.158333333
47,11,A2,163,B4_California,mel_GFP,B4_California,yak_S09_L38,CC,treatment,N,5,84,50,18,16,N,NA,NA,120,173,1.441666667
48,11,A1,164,A5_Greece,mel_GFP,B4_California,yak_S09_L38,GC,treatment,N,17,87,46,26,42,N,NA,NA,120,218,1.816666667
49,11,B2,165,A5_Greece,mel_GFP,B7_Malaysia,yak_S09_L38,GM,treatment,N,5,51,30,15,14,N,NA,NA,120,115,0.958333333
50,11,B1,167,A7_Taiwan,mel_GFP,B4_California,B4_California,TC,control,N,11,47,20,8,26,N,NA,NA,120,112,0.933333333
51,11,C2,168,B4_California,mel_GFP,B7_Malaysia,B7_Malaysia,CM,control,N,2,56,37,11,8,N,NA,NA,120,114,0.95
52,11,C1,175,A7_Taiwan,mel_GFP,B4_California,yak_S09_L38,TC,treatment,N,10,56,29,21,53,N,NA,NA,120,169,1.408333333
53,12,A2,178,A7_Taiwan,mel_GFP,A5_Greece,A5_Greece,TG,control,N,2,22,7,3,6,N,NA,NA,120,40,0.333333333
54,12,A1,179,A5_Greece,mel_GFP,A5_Greece,yak_S09_L38,GG,treatment,N,1,8,2,2,1,N,NA,NA,120,14,0.116666667
55,12,B2,180,A7_Taiwan,mel_GFP,B4_California,B4_California,TC,control,N,2,40,25,12,18,N,NA,NA,120,97,0.808333333
56,12,B1,183,B7_Malaysia,mel_GFP,A5_Greece,A5_Greece,MG,control,N,5,28,5,2,8,Y,38.1,6,38.1,48,1.25984252
57,12,C2,184,B4_California,mel_GFP,A5_Greece,A5_Greece,CG,control,N,1,25,5,2,1,N,NA,NA,120,34,0.283333333
58,12,C1,186,B7_Malaysia,mel_GFP,A5_Greece,yak_S09_L38,MG,treatment,N,0,33,13,2,12,N,NA,NA,120,60,0.5
